Variable,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-A-No aplica-Recuento,B4-A-No aplica-% del N de fila,B4-A-No aplica-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-B-No aplica-Recuento,B4-B-No aplica-% del N de fila,B4-B-No aplica-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-C-No aplica-Recuento,B4-C-No aplica-% del N de fila,B4-C-No aplica-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-D-No aplica-Recuento,B4-D-No aplica-% del N de fila,B4-D-No aplica-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-E-No aplica-Recuento,B4-E-No aplica-% del N de fila,B4-E-No aplica-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-F-No aplica-Recuento,B4-F-No aplica-% del N de fila,B4-F-No aplica-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas,B4-G-No aplica-Recuento,B4-G-No aplica-% del N de fila,B4-G-No aplica-% de N columnas,B4-H-Sí-Recuento,B4-H-Sí-% del N de fila,B4-H-Sí-% de N columnas,B4-H-No-Recuento,B4-H-No-% del N de fila,B4-H-No-% de N columnas,B4-H-No aplica-Recuento,B4-H-No aplica-% del N de fila,B4-H-No aplica-% de N columnas,B4-I-Sí-Recuento,B4-I-Sí-% del N de fila,B4-I-Sí-% de N columnas,B4-I-No-Recuento,B4-I-No-% del N de fila,B4-I-No-% de N columnas,B4-I-No aplica-Recuento,B4-I-No aplica-% del N de fila,B4-I-No aplica-% de N columnas
18 a 20 años,80,0.976,0.007,2,0.024,0.016,0,0,0,80,0.976,0.007,1,0.012,0.007,1,0.012,0.025,73,0.89,0.007,6,0.073,0.008,3,0.037,0.016,56,0.683,0.006,16,0.195,0.015,10,0.122,0.007,68,0.829,0.007,10,0.122,0.013,4,0.049,0.006,64,0.78,0.007,13,0.159,0.007,5,0.061,0.007,54,0.659,0.007,19,0.232,0.009,9,0.11,0.009,52,0.634,0.006,19,0.232,0.008,11,0.134,0.01,53,0.646,0.007,20,0.244,0.008,9,0.11,0.006
21 a 30 años,2346,0.981,0.208,38,0.016,0.302,8,0.003,0.242,2355,0.985,0.209,30,0.013,0.211,7,0.003,0.175,2180,0.911,0.208,156,0.065,0.202,56,0.023,0.306,1899,0.794,0.215,209,0.087,0.193,284,0.119,0.186,2061,0.862,0.205,184,0.077,0.243,147,0.061,0.225,1804,0.754,0.204,423,0.177,0.224,165,0.069,0.237,1598,0.668,0.194,516,0.216,0.233,278,0.116,0.276,1592,0.666,0.198,516,0.216,0.221,284,0.119,0.268,1551,0.648,0.208,515,0.215,0.206,326,0.136,0.22
31 a 40 años,3983,0.985,0.353,49,0.012,0.389,12,0.003,0.364,3975,0.983,0.353,53,0.013,0.373,16,0.004,0.4,3694,0.913,0.352,291,0.072,0.376,59,0.015,0.322,3204,0.792,0.363,341,0.084,0.315,499,0.123,0.327,3572,0.883,0.356,236,0.058,0.311,236,0.058,0.361,3118,0.771,0.352,682,0.169,0.361,244,0.06,0.351,2892,0.715,0.352,815,0.202,0.368,337,0.083,0.335,2837,0.702,0.352,856,0.212,0.366,351,0.087,0.331,2601,0.643,0.349,926,0.229,0.37,517,0.128,0.349
41 a 50 años,3160,0.989,0.28,26,0.008,0.206,8,0.003,0.242,3148,0.986,0.279,38,0.012,0.268,8,0.003,0.2,2939,0.92,0.28,219,0.069,0.283,36,0.011,0.197,2396,0.75,0.271,333,0.104,0.308,465,0.146,0.304,2813,0.881,0.28,214,0.067,0.282,167,0.052,0.255,2499,0.782,0.282,508,0.159,0.269,187,0.059,0.269,2368,0.741,0.288,584,0.183,0.264,242,0.076,0.24,2292,0.718,0.285,642,0.201,0.275,260,0.081,0.245,2104,0.659,0.282,688,0.215,0.275,402,0.126,0.271
51 a 60 años,1518,0.991,0.135,9,0.006,0.071,5,0.003,0.152,1510,0.986,0.134,14,0.009,0.099,8,0.005,0.2,1420,0.927,0.135,86,0.056,0.111,26,0.017,0.142,1131,0.739,0.128,165,0.108,0.152,235,0.153,0.154,1339,0.874,0.133,105,0.069,0.139,88,0.057,0.135,1219,0.796,0.138,232,0.151,0.123,81,0.053,0.117,1152,0.752,0.14,262,0.171,0.118,118,0.077,0.117,1121,0.732,0.139,275,0.18,0.118,136,0.089,0.128,1015,0.663,0.136,322,0.21,0.129,195,0.127,0.132
61 a 70 años,186,0.989,0.016,2,0.011,0.016,0,0,0,182,0.968,0.016,6,0.032,0.042,0,0,0,171,0.91,0.016,14,0.074,0.018,3,0.016,0.016,137,0.729,0.016,17,0.09,0.016,34,0.181,0.022,168,0.894,0.017,8,0.043,0.011,12,0.064,0.018,145,0.771,0.016,31,0.165,0.016,12,0.064,0.017,150,0.798,0.018,19,0.101,0.009,19,0.101,0.019,146,0.777,0.018,26,0.138,0.011,16,0.085,0.015,129,0.686,0.017,30,0.16,0.012,29,0.154,0.02
71 a 80 años,13,1,0.001,0,0,0,0,0,0,13,1,0.001,0,0,0,0,0,0,12,0.923,0.001,1,0.077,0.001,0,0,0,11,0.846,0.001,1,0.077,0.001,1,0.077,0.001,12,0.923,0.001,1,0.077,0.001,0,0,0,10,0.769,0.001,2,0.154,0.001,1,0.077,0.001,8,0.615,0.001,1,0.077,0,4,0.308,0.004,9,0.692,0.001,2,0.154,0.001,2,0.154,0.002,7,0.538,0.001,3,0.231,0.001,3,0.231,0.002
81 a 90 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91 a 99 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Preparatoria, bachillerato o carrera técnica",35,0.972,0.003,1,0.028,0.008,0,0,0,36,1,0.003,0,0,0,0,0,0,35,0.972,0.003,0,0,0,1,0.028,0.005,28,0.778,0.003,3,0.083,0.003,5,0.139,0.003,33,0.917,0.003,1,0.028,0.001,2,0.056,0.003,30,0.833,0.003,5,0.139,0.003,1,0.028,0.001,34,0.944,0.004,1,0.028,0,1,0.028,0.001,30,0.833,0.004,3,0.083,0.001,3,0.083,0.003,30,0.833,0.004,4,0.111,0.002,2,0.056,0.001
Normal básica sin licenciatura,454,0.989,0.04,3,0.007,0.024,2,0.004,0.061,446,0.972,0.04,8,0.017,0.056,5,0.011,0.125,421,0.917,0.04,28,0.061,0.036,10,0.022,0.055,359,0.782,0.041,42,0.092,0.039,58,0.126,0.038,404,0.88,0.04,32,0.07,0.042,23,0.05,0.035,349,0.76,0.039,85,0.185,0.045,25,0.054,0.036,342,0.745,0.042,76,0.166,0.034,41,0.089,0.041,323,0.704,0.04,97,0.211,0.042,39,0.085,0.037,287,0.625,0.038,111,0.242,0.044,61,0.133,0.041
Normal superior,228,0.966,0.02,6,0.025,0.048,2,0.008,0.061,231,0.979,0.021,3,0.013,0.021,2,0.008,0.05,215,0.911,0.02,17,0.072,0.022,4,0.017,0.022,166,0.703,0.019,22,0.093,0.02,48,0.203,0.031,194,0.822,0.019,18,0.076,0.024,24,0.102,0.037,187,0.792,0.021,36,0.153,0.019,13,0.055,0.019,184,0.78,0.022,31,0.131,0.014,21,0.089,0.021,168,0.712,0.021,40,0.169,0.017,28,0.119,0.026,146,0.619,0.02,47,0.199,0.019,43,0.182,0.029
Normal Intercultural Bilingüe,106,1,0.009,0,0,0,0,0,0,105,0.991,0.009,1,0.009,0.007,0,0,0,98,0.925,0.009,6,0.057,0.008,2,0.019,0.011,90,0.849,0.01,7,0.066,0.006,9,0.085,0.006,88,0.83,0.009,8,0.075,0.011,10,0.094,0.015,77,0.726,0.009,20,0.189,0.011,9,0.085,0.013,70,0.66,0.009,26,0.245,0.012,10,0.094,0.01,74,0.698,0.009,20,0.189,0.009,12,0.113,0.011,74,0.698,0.01,21,0.198,0.008,11,0.104,0.007
Licenciatura,8463,0.985,0.75,101,0.012,0.802,25,0.003,0.758,8455,0.984,0.751,105,0.012,0.739,29,0.003,0.725,7870,0.916,0.75,579,0.067,0.749,140,0.016,0.765,6648,0.774,0.753,843,0.098,0.779,1097,0.128,0.718,7516,0.875,0.749,591,0.069,0.78,482,0.056,0.737,6617,0.77,0.747,1436,0.167,0.759,536,0.062,0.771,6078,0.708,0.739,1718,0.2,0.775,793,0.092,0.787,5976,0.696,0.742,1797,0.209,0.769,816,0.095,0.77,5565,0.648,0.746,1911,0.222,0.763,1113,0.13,0.752
Especialidad,75,1,0.007,0,0,0,0,0,0,75,1,0.007,0,0,0,0,0,0,72,0.96,0.007,3,0.04,0.004,0,0,0,67,0.893,0.008,0,0,0,8,0.107,0.005,66,0.88,0.007,5,0.067,0.007,4,0.053,0.006,48,0.64,0.005,18,0.24,0.01,9,0.12,0.013,51,0.68,0.006,21,0.28,0.009,3,0.04,0.003,54,0.72,0.007,16,0.213,0.007,5,0.067,0.005,46,0.613,0.006,18,0.24,0.007,11,0.147,0.007
Maestría,1765,0.99,0.156,13,0.007,0.103,4,0.002,0.121,1757,0.986,0.156,21,0.012,0.148,4,0.002,0.1,1632,0.916,0.156,128,0.072,0.166,22,0.012,0.12,1355,0.76,0.153,148,0.083,0.137,279,0.157,0.183,1587,0.891,0.158,96,0.054,0.127,99,0.056,0.151,1417,0.795,0.16,271,0.152,0.143,94,0.053,0.135,1331,0.747,0.162,328,0.184,0.148,123,0.069,0.122,1293,0.726,0.161,346,0.194,0.148,143,0.08,0.135,1191,0.668,0.16,369,0.207,0.147,222,0.125,0.15
Doctorado,153,0.987,0.014,2,0.013,0.016,0,0,0,151,0.974,0.013,4,0.026,0.028,0,0,0,140,0.903,0.013,11,0.071,0.014,4,0.026,0.022,116,0.748,0.013,16,0.103,0.015,23,0.148,0.015,139,0.897,0.014,7,0.045,0.009,9,0.058,0.014,128,0.826,0.014,19,0.123,0.01,8,0.052,0.012,127,0.819,0.015,14,0.09,0.006,14,0.09,0.014,126,0.813,0.016,15,0.097,0.006,14,0.09,0.013,115,0.742,0.015,22,0.142,0.009,18,0.116,0.012
Posdoctorado,7,1,0.001,0,0,0,0,0,0,7,1,0.001,0,0,0,0,0,0,6,0.857,0.001,1,0.143,0.001,0,0,0,5,0.714,0.001,1,0.143,0.001,1,0.143,0.001,6,0.857,0.001,0,0,0,1,0.143,0.002,6,0.857,0.001,1,0.143,0.001,0,0,0,5,0.714,0.001,1,0.143,0,1,0.143,0.001,5,0.714,0.001,2,0.286,0.001,0,0,0,6,0.857,0.001,1,0.143,0,0,0,0
Menor o igual a 10,4157,0.982,0.368,60,0.014,0.476,15,0.004,0.455,4165,0.984,0.37,53,0.013,0.373,14,0.003,0.35,3869,0.914,0.369,274,0.065,0.354,89,0.021,0.486,3364,0.795,0.381,359,0.085,0.332,509,0.12,0.333,3674,0.868,0.366,295,0.07,0.389,263,0.062,0.402,3207,0.758,0.362,731,0.173,0.387,294,0.069,0.423,2860,0.676,0.348,922,0.218,0.416,450,0.106,0.447,2852,0.674,0.354,923,0.218,0.395,457,0.108,0.431,2729,0.645,0.366,948,0.224,0.379,555,0.131,0.375
11 a 20,3811,0.986,0.338,43,0.011,0.341,10,0.003,0.303,3798,0.983,0.337,51,0.013,0.359,15,0.004,0.375,3527,0.913,0.336,280,0.072,0.362,57,0.015,0.311,2999,0.776,0.339,353,0.091,0.326,512,0.133,0.335,3421,0.885,0.341,237,0.061,0.313,206,0.053,0.315,2962,0.767,0.334,664,0.172,0.351,238,0.062,0.342,2772,0.717,0.337,775,0.201,0.35,317,0.082,0.315,2703,0.7,0.336,814,0.211,0.348,347,0.09,0.327,2475,0.641,0.332,864,0.224,0.345,525,0.136,0.354
21 a 30,3318,0.991,0.294,23,0.007,0.183,8,0.002,0.242,3300,0.985,0.293,38,0.011,0.268,11,0.003,0.275,3093,0.924,0.295,219,0.065,0.283,37,0.011,0.202,2471,0.738,0.28,370,0.111,0.342,507,0.151,0.332,2938,0.877,0.293,226,0.067,0.298,185,0.055,0.283,2690,0.803,0.304,496,0.148,0.262,163,0.049,0.235,2590,0.773,0.315,519,0.155,0.234,240,0.072,0.238,2494,0.745,0.31,599,0.179,0.256,256,0.076,0.242,2256,0.674,0.302,692,0.207,0.276,401,0.12,0.271
31 a 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41 a 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayor o igual a 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definitivo o base,10544,0.986,0.934,116,0.011,0.921,30,0.003,0.909,10524,0.984,0.934,130,0.012,0.915,36,0.003,0.9,9794,0.916,0.934,730,0.068,0.944,166,0.016,0.907,8193,0.766,0.927,1027,0.096,0.949,1469,0.137,0.961,9367,0.876,0.934,704,0.066,0.929,619,0.058,0.946,8313,0.778,0.938,1750,0.164,0.925,627,0.059,0.902,7739,0.724,0.941,2029,0.19,0.916,922,0.086,0.916,7554,0.707,0.939,2170,0.203,0.929,966,0.09,0.911,6974,0.652,0.935,2339,0.219,0.934,1377,0.129,0.93
Interino,368,0.981,0.033,5,0.013,0.04,2,0.005,0.061,370,0.987,0.033,3,0.008,0.021,2,0.005,0.05,348,0.928,0.033,20,0.053,0.026,7,0.019,0.038,321,0.856,0.036,27,0.072,0.025,27,0.072,0.018,338,0.901,0.034,23,0.061,0.03,14,0.037,0.021,258,0.688,0.029,78,0.208,0.041,39,0.104,0.056,236,0.629,0.029,100,0.267,0.045,39,0.104,0.039,243,0.648,0.03,86,0.229,0.037,46,0.123,0.043,245,0.653,0.033,85,0.227,0.034,45,0.12,0.03
Tiempo fijo,258,0.992,0.023,2,0.008,0.016,0,0,0,254,0.977,0.023,5,0.019,0.035,1,0.004,0.025,240,0.923,0.023,12,0.046,0.016,8,0.031,0.044,219,0.842,0.025,19,0.073,0.018,22,0.085,0.014,223,0.858,0.022,20,0.077,0.026,17,0.065,0.026,191,0.735,0.022,47,0.181,0.025,22,0.085,0.032,160,0.615,0.019,67,0.258,0.03,33,0.127,0.033,167,0.642,0.021,58,0.223,0.025,35,0.135,0.033,156,0.6,0.021,61,0.235,0.024,43,0.165,0.029
No tengo nombramiento,11,0.917,0.001,0,0,0,1,0.083,0.03,11,0.917,0.001,0,0,0,1,0.083,0.025,10,0.833,0.001,1,0.083,0.001,1,0.083,0.005,11,0.917,0.001,0,0,0,1,0.083,0.001,11,0.917,0.001,0,0,0,1,0.083,0.002,6,0.5,0.001,5,0.417,0.003,1,0.083,0.001,7,0.583,0.001,4,0.333,0.002,1,0.083,0.001,6,0.5,0.001,4,0.333,0.002,2,0.167,0.002,9,0.75,0.001,2,0.167,0.001,1,0.083,0.001
Otro,105,0.972,0.009,3,0.028,0.024,0,0,0,104,0.963,0.009,4,0.037,0.028,0,0,0,97,0.898,0.009,10,0.093,0.013,1,0.009,0.005,90,0.833,0.01,9,0.083,0.008,9,0.083,0.006,94,0.87,0.009,11,0.102,0.015,3,0.028,0.005,91,0.843,0.01,11,0.102,0.006,6,0.056,0.009,80,0.741,0.01,16,0.148,0.007,12,0.111,0.012,79,0.731,0.01,18,0.167,0.008,11,0.102,0.01,76,0.704,0.01,17,0.157,0.007,15,0.139,0.01
GENERAL PÚBLICA,9992,0.986,0.885,116,0.011,0.921,31,0.003,0.939,9977,0.984,0.886,127,0.013,0.894,35,0.003,0.875,9284,0.916,0.885,690,0.068,0.893,165,0.016,0.902,7889,0.778,0.893,898,0.089,0.83,1351,0.133,0.884,8915,0.879,0.889,668,0.066,0.881,556,0.055,0.85,7835,0.773,0.884,1683,0.166,0.89,621,0.061,0.894,7264,0.716,0.883,1965,0.194,0.887,910,0.09,0.904,7100,0.7,0.882,2091,0.206,0.895,948,0.094,0.894,6550,0.646,0.878,2241,0.221,0.895,1348,0.133,0.91
INDÍGENAS,1294,0.991,0.115,10,0.008,0.079,2,0.002,0.061,1286,0.985,0.114,15,0.011,0.106,5,0.004,0.125,1205,0.923,0.115,83,0.064,0.107,18,0.014,0.098,945,0.724,0.107,184,0.141,0.17,177,0.136,0.116,1118,0.856,0.111,90,0.069,0.119,98,0.075,0.15,1024,0.784,0.116,208,0.159,0.11,74,0.057,0.106,958,0.734,0.117,251,0.192,0.113,97,0.074,0.096,949,0.727,0.118,245,0.188,0.105,112,0.086,0.106,910,0.697,0.122,263,0.201,0.105,133,0.102,0.09
Total,11286,0.986,1,126,0.011,1,33,0.003,1,11263,0.984,1,142,0.012,1,40,0.003,1,10489,0.916,1,773,0.068,1,183,0.016,1,8834,0.772,1,1082,0.095,1,1528,0.134,1,10033,0.877,1,758,0.066,1,654,0.057,1,8859,0.774,1,1891,0.165,1,695,0.061,1,8222,0.718,1,2216,0.194,1,1007,0.088,1,8049,0.703,1,2336,0.204,1,1060,0.093,1,7460,0.652,1,2504,0.219,1,1481,0.129,1
