Variable,B6-A-Totalmente de acuerdo-Recuento,B6-A-Totalmente de acuerdo-% del N de fila,B6-A-Totalmente de acuerdo-% de N columnas,B6-A-De acuerdo-Recuento,B6-A-De acuerdo-% del N de fila,B6-A-De acuerdo-% de N columnas,B6-A-En desacuerdo-Recuento,B6-A-En desacuerdo-% del N de fila,B6-A-En desacuerdo-% de N columnas,B6-A-Totalmente en desacuerdo-Recuento,B6-A-Totalmente en desacuerdo-% del N de fila,B6-A-Totalmente en desacuerdo-% de N columnas,B6-A-No sé o no estoy seguro-Recuento,B6-A-No sé o no estoy seguro-% del N de fila,B6-A-No sé o no estoy seguro-% de N columnas,B6-B-Totalmente de acuerdo-Recuento,B6-B-Totalmente de acuerdo-% del N de fila,B6-B-Totalmente de acuerdo-% de N columnas,B6-B-De acuerdo-Recuento,B6-B-De acuerdo-% del N de fila,B6-B-De acuerdo-% de N columnas,B6-B-En desacuerdo-Recuento,B6-B-En desacuerdo-% del N de fila,B6-B-En desacuerdo-% de N columnas,B6-B-Totalmente en desacuerdo-Recuento,B6-B-Totalmente en desacuerdo-% del N de fila,B6-B-Totalmente en desacuerdo-% de N columnas,B6-B-No sé o no estoy seguro-Recuento,B6-B-No sé o no estoy seguro-% del N de fila,B6-B-No sé o no estoy seguro-% de N columnas,B6-C-Totalmente de acuerdo-Recuento,B6-C-Totalmente de acuerdo-% del N de fila,B6-C-Totalmente de acuerdo-% de N columnas,B6-C-De acuerdo-Recuento,B6-C-De acuerdo-% del N de fila,B6-C-De acuerdo-% de N columnas,B6-C-En desacuerdo-Recuento,B6-C-En desacuerdo-% del N de fila,B6-C-En desacuerdo-% de N columnas,B6-C-Totalmente en desacuerdo-Recuento,B6-C-Totalmente en desacuerdo-% del N de fila,B6-C-Totalmente en desacuerdo-% de N columnas,B6-C-No sé o no estoy seguro-Recuento,B6-C-No sé o no estoy seguro-% del N de fila,B6-C-No sé o no estoy seguro-% de N columnas,B6-D-Totalmente de acuerdo-Recuento,B6-D-Totalmente de acuerdo-% del N de fila,B6-D-Totalmente de acuerdo-% de N columnas,B6-D-De acuerdo-Recuento,B6-D-De acuerdo-% del N de fila,B6-D-De acuerdo-% de N columnas,B6-D-En desacuerdo-Recuento,B6-D-En desacuerdo-% del N de fila,B6-D-En desacuerdo-% de N columnas,B6-D-Totalmente en desacuerdo-Recuento,B6-D-Totalmente en desacuerdo-% del N de fila,B6-D-Totalmente en desacuerdo-% de N columnas,B6-D-No sé o no estoy seguro-Recuento,B6-D-No sé o no estoy seguro-% del N de fila,B6-D-No sé o no estoy seguro-% de N columnas,B6-E-Totalmente de acuerdo-Recuento,B6-E-Totalmente de acuerdo-% del N de fila,B6-E-Totalmente de acuerdo-% de N columnas,B6-E-De acuerdo-Recuento,B6-E-De acuerdo-% del N de fila,B6-E-De acuerdo-% de N columnas,B6-E-En desacuerdo-Recuento,B6-E-En desacuerdo-% del N de fila,B6-E-En desacuerdo-% de N columnas,B6-E-Totalmente en desacuerdo-Recuento,B6-E-Totalmente en desacuerdo-% del N de fila,B6-E-Totalmente en desacuerdo-% de N columnas,B6-E-No sé o no estoy seguro-Recuento,B6-E-No sé o no estoy seguro-% del N de fila,B6-E-No sé o no estoy seguro-% de N columnas,B6-F-Totalmente de acuerdo-Recuento,B6-F-Totalmente de acuerdo-% del N de fila,B6-F-Totalmente de acuerdo-% de N columnas,B6-F-De acuerdo-Recuento,B6-F-De acuerdo-% del N de fila,B6-F-De acuerdo-% de N columnas,B6-F-En desacuerdo-Recuento,B6-F-En desacuerdo-% del N de fila,B6-F-En desacuerdo-% de N columnas,B6-F-Totalmente en desacuerdo-Recuento,B6-F-Totalmente en desacuerdo-% del N de fila,B6-F-Totalmente en desacuerdo-% de N columnas,B6-F-No sé o no estoy seguro-Recuento,B6-F-No sé o no estoy seguro-% del N de fila,B6-F-No sé o no estoy seguro-% de N columnas,B6-G-Totalmente de acuerdo-Recuento,B6-G-Totalmente de acuerdo-% del N de fila,B6-G-Totalmente de acuerdo-% de N columnas,B6-G-De acuerdo-Recuento,B6-G-De acuerdo-% del N de fila,B6-G-De acuerdo-% de N columnas,B6-G-En desacuerdo-Recuento,B6-G-En desacuerdo-% del N de fila,B6-G-En desacuerdo-% de N columnas,B6-G-Totalmente en desacuerdo-Recuento,B6-G-Totalmente en desacuerdo-% del N de fila,B6-G-Totalmente en desacuerdo-% de N columnas,B6-G-No sé o no estoy seguro-Recuento,B6-G-No sé o no estoy seguro-% del N de fila,B6-G-No sé o no estoy seguro-% de N columnas,B6-H-Totalmente de acuerdo-Recuento,B6-H-Totalmente de acuerdo-% del N de fila,B6-H-Totalmente de acuerdo-% de N columnas,B6-H-De acuerdo-Recuento,B6-H-De acuerdo-% del N de fila,B6-H-De acuerdo-% de N columnas,B6-H-En desacuerdo-Recuento,B6-H-En desacuerdo-% del N de fila,B6-H-En desacuerdo-% de N columnas,B6-H-Totalmente en desacuerdo-Recuento,B6-H-Totalmente en desacuerdo-% del N de fila,B6-H-Totalmente en desacuerdo-% de N columnas,B6-H-No sé o no estoy seguro-Recuento,B6-H-No sé o no estoy seguro-% del N de fila,B6-H-No sé o no estoy seguro-% de N columnas,B6-I-Totalmente de acuerdo-Recuento,B6-I-Totalmente de acuerdo-% del N de fila,B6-I-Totalmente de acuerdo-% de N columnas,B6-I-De acuerdo-Recuento,B6-I-De acuerdo-% del N de fila,B6-I-De acuerdo-% de N columnas,B6-I-En desacuerdo-Recuento,B6-I-En desacuerdo-% del N de fila,B6-I-En desacuerdo-% de N columnas,B6-I-Totalmente en desacuerdo-Recuento,B6-I-Totalmente en desacuerdo-% del N de fila,B6-I-Totalmente en desacuerdo-% de N columnas,B6-I-No sé o no estoy seguro-Recuento,B6-I-No sé o no estoy seguro-% del N de fila,B6-I-No sé o no estoy seguro-% de N columnas
ESTADO DE MÉXICO,90,0.181,0.043,349,0.702,0.045,39,0.078,0.04,4,0.008,0.039,15,0.03,0.028,123,0.247,0.046,327,0.658,0.043,35,0.07,0.045,7,0.014,0.089,5,0.01,0.019,126,0.254,0.04,324,0.652,0.044,37,0.074,0.059,3,0.006,0.033,7,0.014,0.035,143,0.288,0.041,321,0.646,0.044,27,0.054,0.056,2,0.004,0.031,4,0.008,0.028,117,0.235,0.046,327,0.658,0.042,33,0.066,0.054,3,0.006,0.052,17,0.034,0.04,166,0.334,0.041,296,0.596,0.044,23,0.046,0.046,3,0.006,0.04,9,0.018,0.065,185,0.372,0.039,299,0.602,0.047,9,0.018,0.044,0,0,0,4,0.008,0.087,120,0.241,0.036,318,0.64,0.045,38,0.076,0.062,4,0.008,0.063,17,0.034,0.048,114,0.229,0.044,325,0.654,0.044,35,0.07,0.044,5,0.01,0.055,18,0.036,0.036
GUANAJUATO,78,0.211,0.037,241,0.651,0.031,30,0.081,0.031,1,0.003,0.01,20,0.054,0.038,96,0.259,0.036,244,0.659,0.032,24,0.065,0.031,0,0,0,6,0.016,0.023,112,0.303,0.036,232,0.627,0.031,20,0.054,0.032,1,0.003,0.011,5,0.014,0.025,122,0.33,0.035,231,0.624,0.032,11,0.03,0.023,1,0.003,0.015,5,0.014,0.035,90,0.243,0.035,247,0.668,0.032,19,0.051,0.031,1,0.003,0.017,13,0.035,0.031,144,0.389,0.036,204,0.551,0.031,17,0.046,0.034,2,0.005,0.027,3,0.008,0.022,178,0.481,0.037,183,0.495,0.029,8,0.022,0.039,1,0.003,0.029,0,0,0,110,0.297,0.033,219,0.592,0.031,25,0.068,0.041,0,0,0,16,0.043,0.045,102,0.276,0.039,228,0.616,0.031,24,0.065,0.03,2,0.005,0.022,14,0.038,0.028
GUERRERO,3,0.15,0.001,16,0.8,0.002,1,0.05,0.001,0,0,0,0,0,0,3,0.15,0.001,16,0.8,0.002,0,0,0,0,0,0,1,0.05,0.004,4,0.2,0.001,16,0.8,0.002,0,0,0,0,0,0,0,0,0,4,0.2,0.001,15,0.75,0.002,1,0.05,0.002,0,0,0,0,0,0,3,0.15,0.001,14,0.7,0.002,2,0.1,0.003,0,0,0,1,0.05,0.002,8,0.4,0.002,11,0.55,0.002,1,0.05,0.002,0,0,0,0,0,0,9,0.45,0.002,11,0.55,0.002,0,0,0,0,0,0,0,0,0,6,0.3,0.002,11,0.55,0.002,2,0.1,0.003,0,0,0,1,0.05,0.003,5,0.25,0.002,12,0.6,0.002,2,0.1,0.003,0,0,0,1,0.05,0.002
HIDALGO,75,0.227,0.036,223,0.676,0.029,17,0.052,0.018,2,0.006,0.019,13,0.039,0.025,91,0.276,0.034,209,0.633,0.027,18,0.055,0.023,1,0.003,0.013,11,0.033,0.042,107,0.324,0.034,204,0.618,0.028,12,0.036,0.019,1,0.003,0.011,6,0.018,0.03,115,0.348,0.033,194,0.588,0.027,15,0.045,0.031,0,0,0,6,0.018,0.042,83,0.252,0.033,221,0.67,0.028,12,0.036,0.019,0,0,0,14,0.042,0.033,128,0.388,0.032,187,0.567,0.028,11,0.033,0.022,3,0.009,0.04,1,0.003,0.007,146,0.442,0.031,178,0.539,0.028,4,0.012,0.02,2,0.006,0.059,0,0,0,93,0.282,0.028,195,0.591,0.028,28,0.085,0.046,3,0.009,0.048,11,0.033,0.031,89,0.27,0.034,215,0.652,0.029,14,0.042,0.018,1,0.003,0.011,11,0.033,0.022
JALISCO,47,0.198,0.023,137,0.578,0.018,28,0.118,0.029,5,0.021,0.049,20,0.084,0.038,53,0.224,0.02,135,0.57,0.018,29,0.122,0.037,6,0.025,0.076,14,0.059,0.053,62,0.262,0.02,135,0.57,0.018,28,0.118,0.044,4,0.017,0.044,8,0.034,0.04,76,0.321,0.022,126,0.532,0.017,24,0.101,0.05,2,0.008,0.031,9,0.038,0.063,61,0.257,0.024,134,0.565,0.017,24,0.101,0.039,2,0.008,0.034,16,0.068,0.038,96,0.405,0.024,126,0.532,0.019,6,0.025,0.012,5,0.021,0.067,4,0.017,0.029,118,0.498,0.025,112,0.473,0.018,4,0.017,0.02,1,0.004,0.029,2,0.008,0.043,80,0.338,0.024,119,0.502,0.017,19,0.08,0.031,5,0.021,0.079,14,0.059,0.039,64,0.27,0.025,134,0.565,0.018,17,0.072,0.021,5,0.021,0.055,17,0.072,0.034
MICHOACÁN,6,0.167,0.003,26,0.722,0.003,1,0.028,0.001,0,0,0,3,0.083,0.006,11,0.306,0.004,20,0.556,0.003,3,0.083,0.004,0,0,0,2,0.056,0.008,12,0.333,0.004,23,0.639,0.003,0,0,0,0,0,0,1,0.028,0.005,10,0.278,0.003,25,0.694,0.003,1,0.028,0.002,0,0,0,0,0,0,5,0.139,0.002,28,0.778,0.004,1,0.028,0.002,0,0,0,2,0.056,0.005,10,0.278,0.002,24,0.667,0.004,2,0.056,0.004,0,0,0,0,0,0,18,0.5,0.004,18,0.5,0.003,0,0,0,0,0,0,0,0,0,13,0.361,0.004,21,0.583,0.003,2,0.056,0.003,0,0,0,0,0,0,6,0.167,0.002,27,0.75,0.004,1,0.028,0.001,0,0,0,2,0.056,0.004
MORELOS,61,0.17,0.029,253,0.705,0.033,35,0.097,0.036,1,0.003,0.01,9,0.025,0.017,80,0.223,0.03,242,0.674,0.032,25,0.07,0.032,3,0.008,0.038,9,0.025,0.034,92,0.256,0.029,236,0.657,0.032,18,0.05,0.028,3,0.008,0.033,10,0.028,0.05,109,0.304,0.031,229,0.638,0.032,13,0.036,0.027,4,0.011,0.062,4,0.011,0.028,76,0.212,0.03,248,0.691,0.032,19,0.053,0.031,4,0.011,0.069,12,0.033,0.029,122,0.34,0.03,213,0.593,0.032,16,0.045,0.032,2,0.006,0.027,6,0.017,0.043,142,0.396,0.03,202,0.563,0.032,9,0.025,0.044,3,0.008,0.088,3,0.008,0.065,98,0.273,0.029,229,0.638,0.032,19,0.053,0.031,3,0.008,0.048,10,0.028,0.028,76,0.212,0.029,236,0.657,0.032,30,0.084,0.038,5,0.014,0.055,12,0.033,0.024
NAYARIT,78,0.175,0.037,304,0.682,0.039,36,0.081,0.037,7,0.016,0.068,21,0.047,0.04,114,0.256,0.042,291,0.652,0.038,30,0.067,0.039,3,0.007,0.038,8,0.018,0.03,127,0.285,0.041,287,0.643,0.039,23,0.052,0.036,3,0.007,0.033,6,0.013,0.03,156,0.35,0.044,269,0.603,0.037,15,0.034,0.031,3,0.007,0.046,3,0.007,0.021,105,0.235,0.041,312,0.7,0.04,15,0.034,0.024,6,0.013,0.103,8,0.018,0.019,164,0.368,0.041,261,0.585,0.039,15,0.034,0.03,2,0.004,0.027,4,0.009,0.029,196,0.439,0.041,235,0.527,0.037,11,0.025,0.054,2,0.004,0.059,2,0.004,0.043,145,0.325,0.043,274,0.614,0.039,16,0.036,0.026,1,0.002,0.016,10,0.022,0.028,93,0.209,0.036,313,0.702,0.042,24,0.054,0.03,1,0.002,0.011,15,0.034,0.03
NUEVO LEÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUEBLA,93,0.236,0.045,256,0.65,0.033,28,0.071,0.029,0,0,0,17,0.043,0.032,112,0.284,0.041,249,0.632,0.033,23,0.058,0.03,0,0,0,10,0.025,0.038,132,0.335,0.042,238,0.604,0.032,21,0.053,0.033,0,0,0,3,0.008,0.015,140,0.355,0.04,239,0.607,0.033,9,0.023,0.019,3,0.008,0.046,3,0.008,0.021,93,0.236,0.037,276,0.701,0.035,17,0.043,0.028,0,0,0,8,0.02,0.019,150,0.381,0.037,210,0.533,0.031,26,0.066,0.052,1,0.003,0.013,7,0.018,0.05,172,0.437,0.036,215,0.546,0.034,5,0.013,0.025,0,0,0,2,0.005,0.043,132,0.335,0.04,231,0.586,0.033,17,0.043,0.028,0,0,0,14,0.036,0.039,105,0.266,0.041,256,0.65,0.034,15,0.038,0.019,2,0.005,0.022,16,0.041,0.032
QUERÉTARO,80,0.155,0.038,338,0.655,0.044,70,0.136,0.072,2,0.004,0.019,26,0.05,0.049,126,0.244,0.047,336,0.651,0.044,35,0.068,0.045,1,0.002,0.013,18,0.035,0.068,150,0.291,0.048,330,0.64,0.045,24,0.047,0.038,2,0.004,0.022,10,0.019,0.05,171,0.331,0.048,316,0.612,0.044,18,0.035,0.037,1,0.002,0.015,10,0.019,0.07,118,0.229,0.046,351,0.68,0.045,23,0.045,0.037,2,0.004,0.034,22,0.043,0.052,199,0.386,0.049,285,0.552,0.043,20,0.039,0.04,2,0.004,0.027,10,0.019,0.072,222,0.43,0.046,284,0.55,0.045,7,0.014,0.034,1,0.002,0.029,2,0.004,0.043,134,0.26,0.04,331,0.641,0.047,26,0.05,0.042,2,0.004,0.032,23,0.045,0.065,102,0.198,0.039,335,0.649,0.045,42,0.081,0.053,3,0.006,0.033,34,0.066,0.069
QUINTANA ROO,93,0.202,0.045,309,0.67,0.04,41,0.089,0.042,4,0.009,0.039,14,0.03,0.027,114,0.247,0.042,300,0.651,0.039,36,0.078,0.046,2,0.004,0.025,9,0.02,0.034,125,0.271,0.04,300,0.651,0.041,24,0.052,0.038,5,0.011,0.056,7,0.015,0.035,145,0.315,0.041,295,0.64,0.041,16,0.035,0.033,2,0.004,0.031,3,0.007,0.021,106,0.23,0.042,322,0.698,0.041,15,0.033,0.024,4,0.009,0.069,14,0.03,0.033,176,0.382,0.044,263,0.57,0.039,16,0.035,0.032,2,0.004,0.027,4,0.009,0.029,207,0.449,0.043,244,0.529,0.038,9,0.02,0.044,0,0,0,1,0.002,0.022,141,0.306,0.042,288,0.625,0.041,22,0.048,0.036,1,0.002,0.016,9,0.02,0.025,119,0.258,0.046,302,0.655,0.04,22,0.048,0.028,2,0.004,0.022,16,0.035,0.032
SAN LUIS POTOSÍ,68,0.178,0.033,271,0.711,0.035,29,0.076,0.03,2,0.005,0.019,11,0.029,0.021,89,0.234,0.033,265,0.696,0.035,19,0.05,0.024,1,0.003,0.013,7,0.018,0.027,111,0.291,0.035,244,0.64,0.033,17,0.045,0.027,3,0.008,0.033,6,0.016,0.03,115,0.302,0.033,245,0.643,0.034,15,0.039,0.031,1,0.003,0.015,5,0.013,0.035,82,0.215,0.032,273,0.717,0.035,15,0.039,0.024,0,0,0,11,0.029,0.026,126,0.331,0.031,236,0.619,0.035,16,0.042,0.032,0,0,0,3,0.008,0.022,153,0.402,0.032,225,0.591,0.035,3,0.008,0.015,0,0,0,0,0,0,109,0.286,0.033,247,0.648,0.035,15,0.039,0.025,0,0,0,10,0.026,0.028,74,0.194,0.029,269,0.706,0.036,17,0.045,0.021,2,0.005,0.022,19,0.05,0.038
SINALOA,128,0.228,0.061,390,0.694,0.05,25,0.044,0.026,3,0.005,0.029,16,0.028,0.03,167,0.297,0.062,343,0.61,0.045,35,0.062,0.045,4,0.007,0.051,13,0.023,0.049,209,0.372,0.067,320,0.569,0.043,18,0.032,0.028,6,0.011,0.067,9,0.016,0.045,229,0.407,0.065,299,0.532,0.041,23,0.041,0.048,6,0.011,0.092,5,0.009,0.035,173,0.308,0.068,349,0.621,0.045,25,0.044,0.041,3,0.005,0.052,12,0.021,0.029,234,0.416,0.058,303,0.539,0.045,21,0.037,0.042,1,0.002,0.013,3,0.005,0.022,290,0.516,0.061,265,0.472,0.042,6,0.011,0.03,0,0,0,1,0.002,0.022,221,0.393,0.066,316,0.562,0.045,18,0.032,0.029,1,0.002,0.016,6,0.011,0.017,165,0.294,0.064,348,0.619,0.047,32,0.057,0.04,3,0.005,0.033,14,0.025,0.028
SONORA,73,0.224,0.035,215,0.66,0.028,16,0.049,0.016,1,0.003,0.01,21,0.064,0.04,92,0.282,0.034,207,0.635,0.027,19,0.058,0.024,1,0.003,0.013,7,0.021,0.027,107,0.328,0.034,204,0.626,0.028,11,0.034,0.017,1,0.003,0.011,3,0.009,0.015,110,0.337,0.031,199,0.61,0.028,12,0.037,0.025,1,0.003,0.015,4,0.012,0.028,85,0.261,0.033,216,0.663,0.028,13,0.04,0.021,0,0,0,12,0.037,0.029,123,0.377,0.031,176,0.54,0.026,15,0.046,0.03,2,0.006,0.027,10,0.031,0.072,152,0.466,0.032,165,0.506,0.026,4,0.012,0.02,0,0,0,5,0.015,0.109,111,0.34,0.033,195,0.598,0.028,9,0.028,0.015,0,0,0,11,0.034,0.031,89,0.273,0.034,197,0.604,0.026,22,0.067,0.028,1,0.003,0.011,17,0.052,0.034
TABASCO,74,0.189,0.035,266,0.679,0.034,38,0.097,0.039,2,0.005,0.019,12,0.031,0.023,93,0.237,0.034,261,0.666,0.034,28,0.071,0.036,3,0.008,0.038,7,0.018,0.027,108,0.276,0.034,258,0.658,0.035,18,0.046,0.028,2,0.005,0.022,6,0.015,0.03,124,0.316,0.035,247,0.63,0.034,15,0.038,0.031,1,0.003,0.015,5,0.013,0.035,79,0.202,0.031,273,0.696,0.035,22,0.056,0.036,1,0.003,0.017,17,0.043,0.04,156,0.398,0.039,216,0.551,0.032,15,0.038,0.03,2,0.005,0.027,3,0.008,0.022,174,0.444,0.036,211,0.538,0.033,5,0.013,0.025,1,0.003,0.029,1,0.003,0.022,110,0.281,0.033,244,0.622,0.035,23,0.059,0.038,1,0.003,0.016,14,0.036,0.039,87,0.222,0.034,257,0.656,0.034,27,0.069,0.034,2,0.005,0.022,19,0.048,0.038
TAMAULIPAS,75,0.174,0.036,301,0.7,0.039,30,0.07,0.031,1,0.002,0.01,23,0.053,0.044,91,0.212,0.034,298,0.693,0.039,28,0.065,0.036,2,0.005,0.025,11,0.026,0.042,108,0.251,0.034,291,0.677,0.039,21,0.049,0.033,1,0.002,0.011,9,0.021,0.045,110,0.256,0.031,297,0.691,0.041,15,0.035,0.031,2,0.005,0.031,6,0.014,0.042,88,0.205,0.035,299,0.695,0.038,21,0.049,0.034,0,0,0,22,0.051,0.052,141,0.328,0.035,266,0.619,0.04,19,0.044,0.038,1,0.002,0.013,3,0.007,0.022,158,0.367,0.033,262,0.609,0.041,8,0.019,0.039,0,0,0,2,0.005,0.043,129,0.3,0.039,270,0.628,0.038,16,0.037,0.026,1,0.002,0.016,14,0.033,0.039,101,0.235,0.039,289,0.672,0.039,21,0.049,0.026,1,0.002,0.011,18,0.042,0.036
TLAXCALA,48,0.144,0.023,252,0.757,0.033,26,0.078,0.027,2,0.006,0.019,5,0.015,0.009,55,0.165,0.02,251,0.754,0.033,20,0.06,0.026,2,0.006,0.025,5,0.015,0.019,69,0.207,0.022,231,0.694,0.031,22,0.066,0.035,4,0.012,0.044,7,0.021,0.035,82,0.246,0.023,234,0.703,0.032,13,0.039,0.027,2,0.006,0.031,2,0.006,0.014,62,0.186,0.024,245,0.736,0.031,18,0.054,0.029,2,0.006,0.034,6,0.018,0.014,107,0.321,0.027,203,0.61,0.03,19,0.057,0.038,4,0.012,0.053,0,0,0,129,0.387,0.027,189,0.568,0.03,11,0.033,0.054,4,0.012,0.118,0,0,0,76,0.228,0.023,230,0.691,0.033,17,0.051,0.028,3,0.009,0.048,7,0.021,0.02,60,0.18,0.023,249,0.748,0.033,16,0.048,0.02,4,0.012,0.044,4,0.012,0.008
VERACRUZ,28,0.222,0.013,81,0.643,0.01,8,0.063,0.008,0,0,0,9,0.071,0.017,27,0.214,0.01,90,0.714,0.012,7,0.056,0.009,1,0.008,0.013,1,0.008,0.004,38,0.302,0.012,79,0.627,0.011,9,0.071,0.014,0,0,0,0,0,0,38,0.302,0.011,79,0.627,0.011,8,0.063,0.017,0,0,0,1,0.008,0.007,31,0.246,0.012,85,0.675,0.011,6,0.048,0.01,0,0,0,4,0.032,0.01,43,0.341,0.011,72,0.571,0.011,7,0.056,0.014,3,0.024,0.04,1,0.008,0.007,49,0.389,0.01,72,0.571,0.011,3,0.024,0.015,0,0,0,2,0.016,0.043,36,0.286,0.011,80,0.635,0.011,6,0.048,0.01,0,0,0,4,0.032,0.011,28,0.222,0.011,87,0.69,0.012,8,0.063,0.01,0,0,0,3,0.024,0.006
YUCATÁN,57,0.218,0.027,169,0.645,0.022,25,0.095,0.026,5,0.019,0.049,6,0.023,0.011,65,0.248,0.024,173,0.66,0.023,16,0.061,0.021,4,0.015,0.051,4,0.015,0.015,68,0.26,0.022,180,0.687,0.024,13,0.05,0.021,1,0.004,0.011,0,0,0,74,0.282,0.021,177,0.676,0.025,9,0.034,0.019,2,0.008,0.031,0,0,0,60,0.229,0.024,185,0.706,0.024,9,0.034,0.015,3,0.011,0.052,5,0.019,0.012,92,0.351,0.023,161,0.615,0.024,7,0.027,0.014,1,0.004,0.013,1,0.004,0.007,106,0.405,0.022,153,0.584,0.024,2,0.008,0.01,1,0.004,0.029,0,0,0,88,0.336,0.026,162,0.618,0.023,10,0.038,0.016,0,0,0,2,0.008,0.006,65,0.248,0.025,166,0.634,0.022,22,0.084,0.028,3,0.011,0.033,6,0.023,0.012
ZACATECAS,100,0.135,0.048,502,0.679,0.065,72,0.097,0.074,10,0.014,0.097,55,0.074,0.104,153,0.207,0.057,494,0.668,0.065,65,0.088,0.084,9,0.012,0.114,18,0.024,0.068,172,0.233,0.055,474,0.641,0.064,56,0.076,0.089,16,0.022,0.178,21,0.028,0.105,196,0.265,0.056,479,0.648,0.066,45,0.061,0.093,7,0.009,0.108,12,0.016,0.085,131,0.177,0.052,505,0.683,0.065,59,0.08,0.096,6,0.008,0.103,38,0.051,0.09,215,0.291,0.053,472,0.639,0.071,37,0.05,0.074,5,0.007,0.067,10,0.014,0.072,273,0.369,0.057,442,0.598,0.069,17,0.023,0.084,4,0.005,0.118,3,0.004,0.065,199,0.269,0.06,459,0.621,0.065,46,0.062,0.075,12,0.016,0.19,23,0.031,0.065,125,0.169,0.048,501,0.678,0.067,72,0.097,0.091,9,0.012,0.099,32,0.043,0.065
Hombre,665,0.193,0.319,2335,0.678,0.301,273,0.079,0.281,37,0.011,0.359,132,0.038,0.25,846,0.246,0.313,2286,0.664,0.3,224,0.065,0.288,18,0.005,0.228,68,0.02,0.258,951,0.276,0.304,2232,0.648,0.302,181,0.053,0.286,20,0.006,0.222,58,0.017,0.29,1062,0.309,0.301,2180,0.633,0.302,145,0.042,0.3,20,0.006,0.308,35,0.01,0.246,779,0.226,0.307,2333,0.678,0.299,210,0.061,0.341,17,0.005,0.293,103,0.03,0.245,1199,0.348,0.298,2012,0.585,0.301,165,0.048,0.328,24,0.007,0.32,42,0.012,0.302,1404,0.408,0.294,1952,0.567,0.306,57,0.017,0.281,13,0.004,0.382,16,0.005,0.348,1000,0.291,0.3,2147,0.624,0.304,189,0.055,0.309,21,0.006,0.333,85,0.025,0.239,774,0.225,0.299,2272,0.66,0.304,239,0.069,0.301,29,0.008,0.319,128,0.037,0.259
Mujer,1422,0.178,0.681,5411,0.677,0.699,698,0.087,0.719,66,0.008,0.641,395,0.049,0.75,1854,0.232,0.687,5328,0.667,0.7,553,0.069,0.712,61,0.008,0.772,196,0.025,0.742,2180,0.273,0.696,5149,0.644,0.698,451,0.056,0.714,70,0.009,0.778,142,0.018,0.71,2466,0.309,0.699,5035,0.63,0.698,339,0.042,0.7,45,0.006,0.692,107,0.013,0.754,1761,0.22,0.693,5466,0.684,0.701,406,0.051,0.659,41,0.005,0.707,318,0.04,0.755,2831,0.354,0.702,4675,0.585,0.699,338,0.042,0.672,51,0.006,0.68,97,0.012,0.698,3371,0.422,0.706,4424,0.554,0.694,146,0.018,0.719,21,0.003,0.618,30,0.004,0.652,2337,0.292,0.7,4919,0.615,0.696,423,0.053,0.691,42,0.005,0.667,271,0.034,0.761,1815,0.227,0.701,5193,0.65,0.696,556,0.07,0.699,62,0.008,0.681,366,0.046,0.741
18 a 20 años,13,0.157,0.006,62,0.747,0.008,6,0.072,0.006,0,0,0,2,0.024,0.004,24,0.289,0.009,52,0.627,0.007,6,0.072,0.008,0,0,0,1,0.012,0.004,19,0.229,0.006,60,0.723,0.008,3,0.036,0.005,1,0.012,0.011,0,0,0,20,0.241,0.006,57,0.687,0.008,5,0.06,0.01,1,0.012,0.015,0,0,0,19,0.229,0.007,56,0.675,0.007,6,0.072,0.01,0,0,0,2,0.024,0.005,24,0.289,0.006,56,0.675,0.008,3,0.036,0.006,0,0,0,0,0,0,29,0.349,0.006,52,0.627,0.008,1,0.012,0.005,0,0,0,1,0.012,0.022,21,0.253,0.006,57,0.687,0.008,4,0.048,0.007,1,0.012,0.016,0,0,0,16,0.193,0.006,57,0.687,0.008,7,0.084,0.009,1,0.012,0.011,2,0.024,0.004
21 a 30 años,498,0.208,0.239,1529,0.64,0.197,223,0.093,0.23,18,0.008,0.175,121,0.051,0.23,591,0.247,0.219,1559,0.653,0.205,161,0.067,0.207,23,0.01,0.291,55,0.023,0.208,697,0.292,0.223,1506,0.63,0.204,121,0.051,0.191,28,0.012,0.311,37,0.015,0.185,758,0.317,0.215,1473,0.617,0.204,110,0.046,0.227,19,0.008,0.292,29,0.012,0.204,546,0.229,0.215,1612,0.675,0.207,133,0.056,0.216,12,0.005,0.207,86,0.036,0.204,871,0.365,0.216,1365,0.571,0.204,96,0.04,0.191,24,0.01,0.32,33,0.014,0.237,1050,0.44,0.22,1272,0.532,0.199,49,0.021,0.241,10,0.004,0.294,8,0.003,0.174,769,0.322,0.23,1430,0.599,0.202,107,0.045,0.175,12,0.005,0.19,71,0.03,0.199,590,0.247,0.228,1517,0.635,0.203,162,0.068,0.204,25,0.01,0.275,95,0.04,0.192
