Variable,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-A-No aplica-Recuento,B4-A-No aplica-% del N de fila,B4-A-No aplica-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-B-No aplica-Recuento,B4-B-No aplica-% del N de fila,B4-B-No aplica-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-C-No aplica-Recuento,B4-C-No aplica-% del N de fila,B4-C-No aplica-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-D-No aplica-Recuento,B4-D-No aplica-% del N de fila,B4-D-No aplica-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-E-No aplica-Recuento,B4-E-No aplica-% del N de fila,B4-E-No aplica-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-F-No aplica-Recuento,B4-F-No aplica-% del N de fila,B4-F-No aplica-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas,B4-G-No aplica-Recuento,B4-G-No aplica-% del N de fila,B4-G-No aplica-% de N columnas,B4-H-Sí-Recuento,B4-H-Sí-% del N de fila,B4-H-Sí-% de N columnas,B4-H-No-Recuento,B4-H-No-% del N de fila,B4-H-No-% de N columnas,B4-H-No aplica-Recuento,B4-H-No aplica-% del N de fila,B4-H-No aplica-% de N columnas,B4-I-Sí-Recuento,B4-I-Sí-% del N de fila,B4-I-Sí-% de N columnas,B4-I-No-Recuento,B4-I-No-% del N de fila,B4-I-No-% de N columnas,B4-I-No aplica-Recuento,B4-I-No aplica-% del N de fila,B4-I-No aplica-% de N columnas
TAMAULIPAS,150,1,0.035,0,0,0,0,0,0,148,0.987,0.035,1,0.007,0.037,1,0.007,0.042,147,0.98,0.036,2,0.013,0.023,1,0.007,0.036,102,0.68,0.033,6,0.04,0.032,42,0.28,0.043,143,0.953,0.038,1,0.007,0.008,6,0.04,0.015,125,0.833,0.034,16,0.107,0.039,9,0.06,0.056,135,0.9,0.037,12,0.08,0.029,3,0.02,0.015,126,0.84,0.036,17,0.113,0.033,7,0.047,0.027,101,0.673,0.033,21,0.14,0.033,28,0.187,0.047
TLAXCALA,157,1,0.037,0,0,0,0,0,0,157,1,0.037,0,0,0,0,0,0,156,0.994,0.038,0,0,0,1,0.006,0.036,111,0.707,0.036,6,0.038,0.032,40,0.255,0.041,130,0.828,0.035,2,0.013,0.017,25,0.159,0.061,134,0.854,0.036,18,0.115,0.044,5,0.032,0.031,140,0.892,0.039,10,0.064,0.024,7,0.045,0.035,138,0.879,0.04,12,0.076,0.023,7,0.045,0.027,126,0.803,0.042,18,0.115,0.029,13,0.083,0.022
VERACRUZ,112,1,0.026,0,0,0,0,0,0,111,0.991,0.026,1,0.009,0.037,0,0,0,106,0.946,0.026,4,0.036,0.046,2,0.018,0.071,77,0.688,0.025,6,0.054,0.032,29,0.259,0.03,106,0.946,0.029,3,0.027,0.025,3,0.027,0.007,98,0.875,0.027,9,0.08,0.022,5,0.045,0.031,95,0.848,0.026,12,0.107,0.029,5,0.045,0.025,88,0.786,0.025,16,0.143,0.031,8,0.071,0.031,74,0.661,0.024,22,0.196,0.035,16,0.143,0.027
YUCATÁN,101,1,0.024,0,0,0,0,0,0,100,0.99,0.024,1,0.01,0.037,0,0,0,98,0.97,0.024,3,0.03,0.034,0,0,0,70,0.693,0.023,4,0.04,0.022,27,0.267,0.028,86,0.851,0.023,2,0.02,0.017,13,0.129,0.032,84,0.832,0.023,13,0.129,0.032,4,0.04,0.025,90,0.891,0.025,6,0.059,0.014,5,0.05,0.025,88,0.871,0.025,6,0.059,0.012,7,0.069,0.027,75,0.743,0.025,16,0.158,0.025,10,0.099,0.017
ZACATECAS,186,0.995,0.044,1,0.005,0.067,0,0,0,186,0.995,0.044,1,0.005,0.037,0,0,0,182,0.973,0.044,5,0.027,0.057,0,0,0,148,0.791,0.048,9,0.048,0.049,30,0.16,0.031,166,0.888,0.045,4,0.021,0.033,17,0.091,0.041,158,0.845,0.043,18,0.096,0.044,11,0.059,0.069,158,0.845,0.043,21,0.112,0.05,8,0.043,0.04,145,0.775,0.042,28,0.15,0.054,14,0.075,0.055,129,0.69,0.043,31,0.166,0.049,27,0.144,0.045
Hombre,1845,0.996,0.436,6,0.003,0.4,1,0.001,0.167,1839,0.993,0.438,12,0.006,0.444,1,0.001,0.042,1797,0.97,0.434,51,0.028,0.586,4,0.002,0.143,1438,0.776,0.465,76,0.041,0.411,338,0.183,0.346,1647,0.889,0.443,59,0.032,0.488,146,0.079,0.354,1603,0.866,0.435,180,0.097,0.443,69,0.037,0.431,1623,0.876,0.446,165,0.089,0.396,64,0.035,0.32,1529,0.826,0.44,224,0.121,0.43,99,0.053,0.387,1299,0.701,0.429,287,0.155,0.457,266,0.144,0.448
Mujer,2386,0.994,0.564,9,0.004,0.6,5,0.002,0.833,2362,0.984,0.562,15,0.006,0.556,23,0.01,0.958,2340,0.975,0.566,36,0.015,0.414,24,0.01,0.857,1652,0.688,0.535,109,0.045,0.589,639,0.266,0.654,2072,0.863,0.557,62,0.026,0.512,266,0.111,0.646,2083,0.868,0.565,226,0.094,0.557,91,0.038,0.569,2012,0.838,0.554,252,0.105,0.604,136,0.057,0.68,1946,0.811,0.56,297,0.124,0.57,157,0.065,0.613,1731,0.721,0.571,341,0.142,0.543,328,0.137,0.552
18 a 20 años,10,1,0.002,0,0,0,0,0,0,10,1,0.002,0,0,0,0,0,0,10,1,0.002,0,0,0,0,0,0,6,0.6,0.002,0,0,0,4,0.4,0.004,7,0.7,0.002,0,0,0,3,0.3,0.007,9,0.9,0.002,0,0,0,1,0.1,0.006,10,1,0.003,0,0,0,0,0,0,8,0.8,0.002,1,0.1,0.002,1,0.1,0.004,8,0.8,0.003,1,0.1,0.002,1,0.1,0.002
21 a 30 años,204,0.995,0.048,1,0.005,0.067,0,0,0,198,0.966,0.047,1,0.005,0.037,6,0.029,0.25,199,0.971,0.048,4,0.02,0.046,2,0.01,0.071,151,0.737,0.049,11,0.054,0.059,43,0.21,0.044,186,0.907,0.05,3,0.015,0.025,16,0.078,0.039,169,0.824,0.046,29,0.141,0.071,7,0.034,0.044,155,0.756,0.043,34,0.166,0.082,16,0.078,0.08,146,0.712,0.042,44,0.215,0.084,15,0.073,0.059,144,0.702,0.048,38,0.185,0.061,23,0.112,0.039
31 a 40 años,984,0.991,0.233,6,0.006,0.4,3,0.003,0.5,971,0.978,0.231,12,0.012,0.444,10,0.01,0.417,968,0.975,0.234,21,0.021,0.241,4,0.004,0.143,681,0.686,0.22,46,0.046,0.249,266,0.268,0.272,866,0.872,0.233,28,0.028,0.231,99,0.1,0.24,840,0.846,0.228,120,0.121,0.296,33,0.033,0.206,838,0.844,0.231,108,0.109,0.259,47,0.047,0.235,808,0.814,0.233,128,0.129,0.246,57,0.057,0.223,706,0.711,0.233,163,0.164,0.26,124,0.125,0.209
41 a 50 años,1252,0.996,0.296,3,0.002,0.2,2,0.002,0.333,1250,0.994,0.298,5,0.004,0.185,2,0.002,0.083,1224,0.974,0.296,26,0.021,0.299,7,0.006,0.25,897,0.714,0.29,51,0.041,0.276,309,0.246,0.316,1089,0.866,0.293,44,0.035,0.364,124,0.099,0.301,1105,0.879,0.3,110,0.088,0.271,42,0.033,0.263,1098,0.874,0.302,113,0.09,0.271,46,0.037,0.23,1043,0.83,0.3,147,0.117,0.282,67,0.053,0.262,917,0.73,0.303,170,0.135,0.271,170,0.135,0.286
51 a 60 años,1258,0.998,0.297,3,0.002,0.2,0,0,0,1251,0.992,0.298,5,0.004,0.185,5,0.004,0.208,1227,0.973,0.297,22,0.017,0.253,12,0.01,0.429,898,0.712,0.291,65,0.052,0.351,298,0.236,0.305,1099,0.872,0.296,32,0.025,0.264,130,0.103,0.316,1117,0.886,0.303,94,0.075,0.232,50,0.04,0.313,1091,0.865,0.3,108,0.086,0.259,62,0.049,0.31,1046,0.83,0.301,137,0.109,0.263,78,0.062,0.305,884,0.701,0.292,180,0.143,0.287,197,0.156,0.332
61 a 70 años,461,0.994,0.109,2,0.004,0.133,1,0.002,0.167,459,0.989,0.109,4,0.009,0.148,1,0.002,0.042,449,0.968,0.109,12,0.026,0.138,3,0.006,0.107,399,0.86,0.129,11,0.024,0.059,54,0.116,0.055,415,0.894,0.112,12,0.026,0.099,37,0.08,0.09,393,0.847,0.107,48,0.103,0.118,23,0.05,0.144,388,0.836,0.107,48,0.103,0.115,28,0.06,0.14,370,0.797,0.106,60,0.129,0.115,34,0.073,0.133,324,0.698,0.107,69,0.149,0.11,71,0.153,0.12
71 a 80 años,62,1,0.015,0,0,0,0,0,0,62,1,0.015,0,0,0,0,0,0,60,0.968,0.015,2,0.032,0.023,0,0,0,58,0.935,0.019,1,0.016,0.005,3,0.048,0.003,57,0.919,0.015,2,0.032,0.017,3,0.048,0.007,53,0.855,0.014,5,0.081,0.012,4,0.065,0.025,55,0.887,0.015,6,0.097,0.014,1,0.016,0.005,54,0.871,0.016,4,0.065,0.008,4,0.065,0.016,47,0.758,0.016,7,0.113,0.011,8,0.129,0.013
81 a 90 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91 a 99 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Preparatoria, bachillerato o carrera técnica",18,1,0.004,0,0,0,0,0,0,18,1,0.004,0,0,0,0,0,0,16,0.889,0.004,1,0.056,0.011,1,0.056,0.036,14,0.778,0.005,1,0.056,0.005,3,0.167,0.003,17,0.944,0.005,1,0.056,0.008,0,0,0,17,0.944,0.005,1,0.056,0.002,0,0,0,13,0.722,0.004,5,0.278,0.012,0,0,0,13,0.722,0.004,5,0.278,0.01,0,0,0,13,0.722,0.004,5,0.278,0.008,0,0,0
Normal básica sin licenciatura,85,0.988,0.02,0,0,0,1,0.012,0.167,85,0.988,0.02,0,0,0,1,0.012,0.042,81,0.942,0.02,2,0.023,0.023,3,0.035,0.107,42,0.488,0.014,11,0.128,0.059,33,0.384,0.034,70,0.814,0.019,2,0.023,0.017,14,0.163,0.034,75,0.872,0.02,6,0.07,0.015,5,0.058,0.031,64,0.744,0.018,13,0.151,0.031,9,0.105,0.045,61,0.709,0.018,17,0.198,0.033,8,0.093,0.031,58,0.674,0.019,16,0.186,0.025,12,0.14,0.02
Normal superior,242,1,0.057,0,0,0,0,0,0,240,0.992,0.057,2,0.008,0.074,0,0,0,236,0.975,0.057,5,0.021,0.057,1,0.004,0.036,190,0.785,0.061,14,0.058,0.076,38,0.157,0.039,219,0.905,0.059,6,0.025,0.05,17,0.07,0.041,202,0.835,0.055,28,0.116,0.069,12,0.05,0.075,206,0.851,0.057,24,0.099,0.058,12,0.05,0.06,193,0.798,0.056,32,0.132,0.061,17,0.07,0.066,159,0.657,0.052,51,0.211,0.081,32,0.132,0.054
Normal Intercultural Bilingüe,5,1,0.001,0,0,0,0,0,0,5,1,0.001,0,0,0,0,0,0,5,1,0.001,0,0,0,0,0,0,4,0.8,0.001,0,0,0,1,0.2,0.001,4,0.8,0.001,0,0,0,1,0.2,0.002,3,0.6,0.001,1,0.2,0.002,1,0.2,0.006,4,0.8,0.001,1,0.2,0.002,0,0,0,4,0.8,0.001,1,0.2,0.002,0,0,0,4,0.8,0.001,1,0.2,0.002,0,0,0
Licenciatura,1822,0.994,0.431,7,0.004,0.467,4,0.002,0.667,1806,0.985,0.43,12,0.007,0.444,15,0.008,0.625,1788,0.975,0.432,33,0.018,0.379,12,0.007,0.429,1245,0.679,0.403,91,0.05,0.492,497,0.271,0.509,1567,0.855,0.421,55,0.03,0.455,211,0.115,0.512,1613,0.88,0.438,158,0.086,0.389,62,0.034,0.388,1545,0.843,0.425,192,0.105,0.46,96,0.052,0.48,1491,0.813,0.429,224,0.122,0.43,118,0.064,0.461,1320,0.72,0.436,262,0.143,0.417,251,0.137,0.423
Especialidad,49,1,0.012,0,0,0,0,0,0,49,1,0.012,0,0,0,0,0,0,47,0.959,0.011,1,0.02,0.011,1,0.02,0.036,39,0.796,0.013,0,0,0,10,0.204,0.01,44,0.898,0.012,2,0.041,0.017,3,0.061,0.007,46,0.939,0.012,2,0.041,0.005,1,0.02,0.006,44,0.898,0.012,5,0.102,0.012,0,0,0,40,0.816,0.012,7,0.143,0.013,2,0.041,0.008,36,0.735,0.012,7,0.143,0.011,6,0.122,0.01
Maestría,1563,0.996,0.369,5,0.003,0.333,1,0.001,0.167,1554,0.99,0.37,9,0.006,0.333,6,0.004,0.25,1526,0.973,0.369,37,0.024,0.425,6,0.004,0.214,1192,0.76,0.386,53,0.034,0.286,324,0.207,0.332,1402,0.894,0.377,41,0.026,0.339,126,0.08,0.306,1344,0.857,0.365,162,0.103,0.399,63,0.04,0.394,1369,0.873,0.377,139,0.089,0.333,61,0.039,0.305,1299,0.828,0.374,185,0.118,0.355,85,0.054,0.332,1117,0.712,0.369,231,0.147,0.368,221,0.141,0.372
Doctorado,433,0.993,0.102,3,0.007,0.2,0,0,0,430,0.986,0.102,4,0.009,0.148,2,0.005,0.083,425,0.975,0.103,8,0.018,0.092,3,0.007,0.107,355,0.814,0.115,14,0.032,0.076,67,0.154,0.069,384,0.881,0.103,14,0.032,0.116,38,0.087,0.092,372,0.853,0.101,48,0.11,0.118,16,0.037,0.1,377,0.865,0.104,37,0.085,0.089,22,0.05,0.11,361,0.828,0.104,49,0.112,0.094,26,0.06,0.102,310,0.711,0.102,54,0.124,0.086,72,0.165,0.121
Posdoctorado,14,1,0.003,0,0,0,0,0,0,14,1,0.003,0,0,0,0,0,0,13,0.929,0.003,0,0,0,1,0.071,0.036,9,0.643,0.003,1,0.071,0.005,4,0.286,0.004,12,0.857,0.003,0,0,0,2,0.143,0.005,14,1,0.004,0,0,0,0,0,0,13,0.929,0.004,1,0.071,0.002,0,0,0,13,0.929,0.004,1,0.071,0.002,0,0,0,13,0.929,0.004,1,0.071,0.002,0,0,0
Menor o igual a 10,2875,0.996,0.68,9,0.003,0.6,3,0.001,0.5,2850,0.987,0.678,19,0.007,0.704,18,0.006,0.75,2820,0.977,0.682,53,0.018,0.609,14,0.005,0.5,2121,0.735,0.686,114,0.039,0.616,652,0.226,0.667,2541,0.88,0.683,80,0.028,0.661,266,0.092,0.646,2517,0.872,0.683,278,0.096,0.685,92,0.032,0.575,2467,0.855,0.679,289,0.1,0.693,131,0.045,0.655,2369,0.821,0.682,350,0.121,0.672,168,0.058,0.656,2083,0.722,0.687,416,0.144,0.662,388,0.134,0.653
11 a 20,887,0.993,0.21,4,0.004,0.267,2,0.002,0.333,883,0.989,0.21,7,0.008,0.259,3,0.003,0.125,869,0.973,0.21,17,0.019,0.195,7,0.008,0.25,643,0.72,0.208,46,0.052,0.249,204,0.228,0.209,784,0.878,0.211,19,0.021,0.157,90,0.101,0.218,761,0.852,0.206,84,0.094,0.207,48,0.054,0.3,782,0.876,0.215,66,0.074,0.158,45,0.05,0.225,736,0.824,0.212,98,0.11,0.188,59,0.066,0.23,620,0.694,0.205,132,0.148,0.21,141,0.158,0.237
21 a 30,469,0.994,0.111,2,0.004,0.133,1,0.002,0.167,468,0.992,0.111,1,0.002,0.037,3,0.006,0.125,448,0.949,0.108,17,0.036,0.195,7,0.015,0.25,326,0.691,0.106,25,0.053,0.135,121,0.256,0.124,394,0.835,0.106,22,0.047,0.182,56,0.119,0.136,408,0.864,0.111,44,0.093,0.108,20,0.042,0.125,386,0.818,0.106,62,0.131,0.149,24,0.051,0.12,370,0.784,0.106,73,0.155,0.14,29,0.061,0.113,327,0.693,0.108,80,0.169,0.127,65,0.138,0.109
31 a 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41 a 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayor o igual a 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definitivo o base,3334,0.996,0.788,9,0.003,0.6,3,0.001,0.5,3323,0.993,0.791,16,0.005,0.593,7,0.002,0.292,3260,0.974,0.788,68,0.02,0.782,18,0.005,0.643,2461,0.736,0.796,120,0.036,0.649,765,0.229,0.783,2937,0.878,0.79,89,0.027,0.736,320,0.096,0.777,2918,0.872,0.792,304,0.091,0.749,124,0.037,0.775,2914,0.871,0.802,286,0.085,0.686,146,0.044,0.73,2778,0.83,0.799,370,0.111,0.71,198,0.059,0.773,2392,0.715,0.789,466,0.139,0.742,488,0.146,0.822
Interino,133,0.993,0.031,1,0.007,0.067,0,0,0,131,0.978,0.031,2,0.015,0.074,1,0.007,0.042,129,0.963,0.031,4,0.03,0.046,1,0.007,0.036,111,0.828,0.036,4,0.03,0.022,19,0.142,0.019,116,0.866,0.031,5,0.037,0.041,13,0.097,0.032,105,0.784,0.028,20,0.149,0.049,9,0.067,0.056,112,0.836,0.031,16,0.119,0.038,6,0.045,0.03,101,0.754,0.029,26,0.194,0.05,7,0.052,0.027,91,0.679,0.03,23,0.172,0.037,20,0.149,0.034
No tengo nombramiento,454,0.985,0.107,4,0.009,0.267,3,0.007,0.5,442,0.959,0.105,7,0.015,0.259,12,0.026,0.5,446,0.967,0.108,9,0.02,0.103,6,0.013,0.214,301,0.653,0.097,43,0.093,0.232,117,0.254,0.12,396,0.859,0.106,16,0.035,0.132,49,0.106,0.119,392,0.85,0.106,53,0.115,0.131,16,0.035,0.1,348,0.755,0.096,80,0.174,0.192,33,0.072,0.165,349,0.757,0.1,78,0.169,0.15,34,0.074,0.133,317,0.688,0.105,88,0.191,0.14,56,0.121,0.094
